segment,mean,median,mode,std_dev,variance,min,max,range,max_slope,min_slope,mean_slope,AUC,skewness,kurtosis,rise_time (s),fall_time (s),asymmetry (AUC half2 - half1),force,subdata_id,segment_type,cycle_duration
segment_1,1.564657955911824,2.0824048096192387,2.16,1.298447089244783,1.6859648435682493,-1.6,2.72,4.32,0.0,-0.0577154308617237,-0.0086573146292585,0.376001111642122,-1.5841992293365936,1.070516451486491,0.0,0.24,-0.18719886265517,5,subdata_1,start,0.24
segment_2,-0.0115097394789578,-0.56,-0.4,1.4179785970241263,2.01066330161851,-1.6,3.12,4.720000000000001,0.400801603206413,-0.2805611222445046,-8.899583363728709e-19,-0.0083263922634849,1.0356288870276196,-0.4146490451182449,0.721442885771543,0.2785571142284569,0.924796285958691,5,subdata_1,cycle,1.0
segment_3,-0.0076774348697388,-0.56,-0.4,1.4223855596727686,2.023180680365615,-1.6,3.2,4.800000000000001,0.4008016032064352,-0.2805611222445046,-8.899583363728709e-19,-0.0044864076851092,1.0428081961376343,-0.3821539726086875,0.7214428857715431,0.2785571142284571,0.9235162910992332,5,subdata_1,cycle,1.0000000000000002
segment_4,-0.0086355110220432,-0.56,-0.56,1.4172547595597156,2.0086110534946675,-1.6,3.12,4.720000000000001,0.3607214428857916,-0.2805611222445046,0.0,-0.0054464038297025,1.0344731635288786,-0.4249245557882615,0.7214428857715429,0.2785571142284571,0.9244762872438268,5,subdata_1,cycle,1.0
segment_5,-2.9493120641282564,-0.975951903807614,-10.24,4.53594102503764,20.574760982619512,-10.24,3.12,13.36,0.7486973947895763,-5.036633266532786,-0.017314629258517,-5.49819420419998,-0.8254558435941726,-0.9341506121765252,0.7224929859719436,1.145507014028056,-5.545248110007588,5,subdata_1,cycle,1.868
segment_6,-4.200412344689379,-0.64,-10.24,5.49528948916403,30.198206569716664,-10.24,3.12,13.36,5.399118236473175,-0.3629659318638235,0.017314629258517,-4.750965825840062,-0.10596584586559,-1.826862700330513,0.8529699398797597,0.2790300601202409,5.60681985373553,5,subdata_1,cycle,1.1320000000000006
segment_7,-0.0060806412825664,-0.56,-0.4,1.4227777079793429,2.0242964063229523,-1.6,3.12,4.720000000000001,0.400801603206542,-0.2805611222445355,8.899583363728709e-19,-0.0028864141107877,1.0309555276713378,-0.4281004571271856,0.7214428857715429,0.2785571142284571,0.9327962538303044,5,subdata_1,cycle,1.0
segment_8,-0.0150005611222465,-0.56,-0.32,1.422059438439235,2.022253046454113,-1.6,3.12,4.720000000000001,0.4426452905812845,-0.2816833667335441,8.899583363728709e-19,-0.0118715063794942,1.0342026030721472,-0.4168997842843205,0.7203046092184371,0.2836953907815633,0.9289312618021592,5,subdata_1,cycle,1.0040000000000004
segment_9,-0.0022444889779553,-0.56,-0.4,1.4154963896196924,2.003630029026384,-1.6,3.12,4.720000000000001,0.4391182364729702,-0.3193587174347454,-8.899583363728709e-19,0.0009535961702975,1.0287709982725746,-0.4359656238599445,0.7165611222444888,0.2794388777555099,0.9231962923843674,5,subdata_1,cycle,0.9959999999999988
segment_10,-0.5326736673346675,-0.64,-0.4,0.9705691935403372,0.9420045594495404,-1.6,3.12,4.720000000000001,0.298196392785532,0.0,0.0094589178356713,-0.3982365616202324,2.7618589134322336,7.756756830371772,0.7171623246492977,0.026837675350702,0.3825819083457501,5,subdata_1,end,0.7439999999999998
segment_1,-6.388680400801603,-10.24,-10.24,4.916648034998905,24.17342790005859,-10.24,1.12,11.36,1.047214428857739,-0.0516232464929888,0.017314629258517,-1.1756900137750452,0.548647207062405,-1.605819495393108,0.1161523046092184,0.0678476953907815,0.7084699862249549,5,subdata_10,start,0.184
segment_2,-0.0054419238476956,-0.56,-0.48,1.4687555608300535,2.157242897469205,-1.6,3.2,4.800000000000001,0.4008016032063906,-0.240480961923861,-1.7799166727457418e-18,-0.0022464166810577,1.047059380817823,-0.4496823823880205,0.7294589178356714,0.2705410821643286,0.966716117605953,5,subdata_10,cycle,1.0
segment_3,-0.0127740280561117,-0.56,-0.48,1.4712868725377293,2.1646850613018525,-1.6,3.2,4.800000000000001,0.4024048096192607,-0.2816833667334514,-8.899583363728709e-19,-0.0096315873430223,1.048280376079469,-0.4514617466771158,0.7243286573146295,0.2796713426853707,0.9611296140979362,5,subdata_10,cycle,1.0040000000000002
segment_4,-0.0067334669338667,-0.56,-0.56,1.4591830407149942,2.129215146310256,-1.6,3.12,4.720000000000001,0.399198396793565,-0.2794388777554955,0.0,-0.0035263858378071,1.0438394892359244,-0.4628845862546149,0.7205531062124249,0.2754468937875751,0.9507161818627236,5,subdata_10,cycle,0.996
segment_5,-0.0089548697394787,-0.56,-0.4,1.4666330031295387,2.1510123658687696,-1.6,3.12,4.720000000000001,0.400801603206435,-0.2805611222445979,0.0,-0.0057664025445681,1.044898550334544,-0.4731283810815401,0.7214428857715429,0.2785571142284571,0.9603161433086608,5,subdata_10,cycle,1.0
segment_6,-0.0044838476953913,-0.56,-0.48,1.465564161616062,2.1478783118133906,-1.6,3.12,4.720000000000001,0.4408817635270301,-0.240480961923941,-8.899583363728709e-19,-0.0012864205364644,1.0402767469815504,-0.4767583245254339,0.7214428857715429,0.2785571142284571,0.961276139453254,5,subdata_10,cycle,1.0
segment_7,-0.0086355110220446,-0.56,-0.48,1.470272708935355,2.161701838640108,-1.6,3.2,4.800000000000001,0.4408817635271271,-0.2805611222445979,-1.7799166727457418e-18,-0.0054464038297042,1.0541445373533846,-0.4402943240878469,0.7254509018036073,0.2745490981963927,0.9599760643531544,5,subdata_10,cycle,1.0
segment_8,-0.0099129458917841,-0.56,-0.4,1.4680830232582651,2.1552677631791286,-1.6,3.12,4.720000000000001,0.4408817635271274,-0.240480961923941,-8.899583363728709e-19,-0.0067263986891626,1.0415513869754356,-0.4760246038774212,0.7214428857715429,0.2785571142284571,0.9619161368829832,5,subdata_10,cycle,1.0
segment_9,-0.0111903807615236,-0.56,-0.56,1.4655054860607577,2.1477063296741776,-1.6,3.12,4.720000000000001,0.4408817635271274,-0.2805611222444736,-8.899583363728709e-19,-0.0080063935486208,1.0380029260577874,-0.4783659210952846,0.7214428857715429,0.2785571142284571,0.9593561471640668,5,subdata_10,cycle,1.0
segment_10,-4.988857074148303,-1.5396392785571065,-10.24,5.229178850764597,27.34431145328375,-10.24,3.2,13.44,0.849699398797918,-10.47855711423155,-0.017314629258517,-8.976583901269484,0.0851263470164043,-1.795190646081882,0.7214428857715429,1.0785571142284578,-8.91368651531521,5,subdata_10,end,1.8000000000000007
